Week,Sales
1,24924.5
2,46039.49
3,41595.55
4,19403.54
5,21827.9
6,21043.39
7,22136.64
8,26229.21
9,57258.43
10,42960.91
11,17596.96
12,16145.35
13,16555.11
14,17413.94
15,18926.74
16,14773.04
17,15580.43
18,17558.09
19,16637.62
20,16216.27
21,16328.72
22,16333.14
23,17688.76
24,17150.84
25,15360.45
26,15381.82
27,17508.41
28,15536.4
29,15740.13
30,15793.87
31,16241.78
32,18194.74
33,19354.23
34,18122.52
35,20094.19
36,23388.03
37,26978.34
38,25543.04
39,38640.93
40,34238.88
41,19549.39
42,19552.84
43,18820.29
44,22517.56
45,31497.65
46,44912.86
47,55931.23
48,19124.58
49,15984.24
50,17359.7
51,17341.47
52,18461.18